time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2019-01-01 00:00,2019-01-01 01:00,-2.542,0.001,0,10.513,1.106,0,0,0.001
2019-01-01 01:00,2019-01-01 02:00,-2.190,0.001,0,10.515,1.106,0,0,0.043
2019-01-01 02:00,2019-01-01 03:00,-2.182,0.001,0,10.516,1.106,0,0,0.171
2019-01-01 03:00,2019-01-01 04:00,-2.230,0,0,10.517,1.106,0,0,0.379
2019-01-01 04:00,2019-01-01 05:00,-2.113,0,0,10.517,1.105,0,0,0.558
2019-01-01 05:00,2019-01-01 06:00,-2.122,0,0,10.518,1.105,0,0,0.554
2019-01-01 06:00,2019-01-01 07:00,-2.005,0,0,10.518,1.105,0,0,0.623
2019-01-01 07:00,2019-01-01 08:00,-1.880,0,0,10.518,1.105,29.181,67.203,0.685
2019-01-01 08:00,2019-01-01 09:00,-0.783,0,0,10.518,1.105,146.093,247.624,0.648
2019-01-01 09:00,2019-01-01 10:00,0.598,0,0,10.510,1.103,258.566,388.082,0.674
2019-01-01 10:00,2019-01-01 11:00,2.170,0,0,10.414,1.100,325.817,475.147,0.664
2019-01-01 11:00,2019-01-01 12:00,3.027,0,0,10.228,1.097,327.312,502.851,0.569
2019-01-01 12:00,2019-01-01 13:00,3.371,0,0,10.003,1.094,302.263,469.307,0.423
2019-01-01 13:00,2019-01-01 14:00,3.280,0,0,9.838,1.092,259.673,376.723,0.154
2019-01-01 14:00,2019-01-01 15:00,2.003,0,0,9.785,1.092,149.502,231.564,0.127
2019-01-01 15:00,2019-01-01 16:00,-1.064,0,0,9.778,1.094,26.585,52.487,0.039
2019-01-01 16:00,2019-01-01 17:00,-3.135,0,0,9.778,1.096,0,0,0
2019-01-01 17:00,2019-01-01 18:00,-3.954,0,0,9.779,1.098,0,0,0.014
2019-01-01 18:00,2019-01-01 19:00,-4.334,0,0,9.781,1.100,0,0,0.055
2019-01-01 19:00,2019-01-01 20:00,-4.376,0,0,9.782,1.101,0,0,0.047
2019-01-01 20:00,2019-01-01 21:00,-4.302,0.002,0.002,9.785,1.102,0,0,0.001
2019-01-01 21:00,2019-01-01 22:00,-4.089,0.004,0.004,9.789,1.103,0,0,0.001
2019-01-01 22:00,2019-01-01 23:00,-3.751,0.004,0.004,9.794,1.104,0,0,0.002
2019-01-01 23:00,2019-01-02 00:00,-3.470,0.005,0.005,9.799,1.105,0,0,0.004
2019-01-02 00:00,2019-01-02 01:00,-3.468,0.006,0.006,9.806,1.106,0,0,0.008
2019-01-02 01:00,2019-01-02 02:00,-3.656,0.008,0.008,9.814,1.106,0,0,0.066
2019-01-02 02:00,2019-01-02 03:00,-3.964,0.010,0.009,9.820,1.107,0,0,0.110
2019-01-02 03:00,2019-01-02 04:00,-4.332,0.012,0.012,9.830,1.107,0,0,0.083
2019-01-02 04:00,2019-01-02 05:00,-4.595,0.014,0.014,9.842,1.107,0,0,0.038
2019-01-02 05:00,2019-01-02 06:00,-4.444,0.014,0.013,9.855,1.108,0,0,0.052
2019-01-02 06:00,2019-01-02 07:00,-4.584,0.016,0.014,9.867,1.111,0,0,0.057
2019-01-02 07:00,2019-01-02 08:00,-4.961,0.014,0.014,9.878,1.114,36.330,68.489,0.061
2019-01-02 08:00,2019-01-02 09:00,-4.003,0.013,0.013,9.883,1.115,165.310,249.370,0.052
2019-01-02 09:00,2019-01-02 10:00,-2.825,0.012,0.012,9.875,1.116,283.416,389.931,0.039
2019-01-02 10:00,2019-01-02 11:00,-2.234,0.013,0.013,9.860,1.115,361.150,477.018,0.034
2019-01-02 11:00,2019-01-02 12:00,-1.893,0.013,0.013,9.840,1.114,384.881,504.721,0.038
2019-01-02 12:00,2019-01-02 13:00,-1.914,0.014,0.013,9.820,1.114,351.737,471.182,0.062
